0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:34 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098510051 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:35 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098510052 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:35 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js?_=1381098510053 HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:36 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:37 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098514975 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:28:37 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098514976 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:29 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:30 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:34 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:34 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098570059 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:34 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098570060 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:34 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js?_=1381098570061 HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:37 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:38 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098574906 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:29:38 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098574907 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:08 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:09 -0500] "GET /Sistema_de_Pruebas_Academicas/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:09 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:14 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:14 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:14 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098668963 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:14 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098668964 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:14 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js?_=1381098668965 HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:16 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:16 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098674756 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:31:16 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098674757 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:06 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:07 -0500] "GET /Sistema_de_Pruebas_Academicas/alumno_insertar.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:07 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:07 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098676495 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:07 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098676496 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:08 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:08 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:09 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:09 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:10 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:10 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:10 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:11 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:11 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:22 -0500] "GET /Sistema_de_Pruebas_Academicas/profesor.jsp HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:22 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:22 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js?_=1381098731156 HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:22 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js?_=1381098731157 HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [06/Oct/2013:17:32:22 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js?_=1381098731158 HTTP/1.1" 200 61884
